number,parent_number,child_phase_a,child_phase_b,child_order,parent_phase_a,parent_phase_b,parent_order,closure_relation,hex_lock_signature,child_order_tied,parent_order_tied,unresolved_by_five_children,child_remainder_3,child_x_3_fraction,child_x_3_decimal,child_handover_distance_3_fraction,child_handover_distance_3_decimal,child_direction_3,child_remainder_5,child_x_5_fraction,child_x_5_decimal,child_handover_distance_5_fraction,child_handover_distance_5_decimal,child_direction_5,child_remainder_9,child_x_9_fraction,child_x_9_decimal,child_handover_distance_9_fraction,child_handover_distance_9_decimal,child_direction_9,child_remainder_11,child_x_11_fraction,child_x_11_decimal,child_handover_distance_11_fraction,child_handover_distance_11_decimal,child_direction_11,child_remainder_13,child_x_13_fraction,child_x_13_decimal,child_handover_distance_13_fraction,child_handover_distance_13_decimal,child_direction_13,parent_remainder_3,parent_x_3_fraction,parent_x_3_decimal,parent_handover_distance_3_fraction,parent_handover_distance_3_decimal,parent_direction_3,parent_remainder_5,parent_x_5_fraction,parent_x_5_decimal,parent_handover_distance_5_fraction,parent_handover_distance_5_decimal,parent_direction_5,parent_remainder_9,parent_x_9_fraction,parent_x_9_decimal,parent_handover_distance_9_fraction,parent_handover_distance_9_decimal,parent_direction_9,parent_remainder_11,parent_x_11_fraction,parent_x_11_decimal,parent_handover_distance_11_fraction,parent_handover_distance_11_decimal,parent_direction_11,parent_remainder_13,parent_x_13_fraction,parent_x_13_decimal,parent_handover_distance_13_fraction,parent_handover_distance_13_decimal,parent_direction_13
3305,6610,5,9,5>3>11>13>9,5,3,5>11>13>9>3,1-5-2-3-4,5|9|5>3>11>13>9|5|3|5>11>13>9>3,0,0,0,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,0,0,0,0,0,on,2,4/9,0.444444444444444,14/9,1.55555555555556,leaving,5,10/11,0.909090909090909,12/11,1.09090909090909,leaving,3,6/13,0.461538461538462,20/13,1.53846153846154,leaving,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,0,0,0,0,0,on,4,8/9,0.888888888888889,10/9,1.11111111111111,leaving,10,20/11,1.81818181818182,2/11,0.181818181818182,approaching,6,12/13,0.923076923076923,14/13,1.07692307692308,leaving
3307,6614,11,3,11>9>5>13>3,9,11,9>5>13>3>11,5-1-2-3-4,11|3|11>9>5>13>3|9|11|9>5>13>3>11,0,0,1,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,2,4/5,0.8,6/5,1.2,leaving,4,8/9,0.888888888888889,10/9,1.11111111111111,leaving,7,14/11,1.27272727272727,8/11,0.727272727272727,approaching,5,10/13,0.769230769230769,16/13,1.23076923076923,leaving,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,4,8/5,1.6,2/5,0.4,approaching,8,16/9,1.77777777777778,2/9,0.222222222222222,approaching,3,6/11,0.545454545454545,16/11,1.45454545454545,leaving,10,20/13,1.53846153846154,6/13,0.461538461538462,approaching
3309,6618,3,13,3>11>5>9>13,3,13,3>11>5>9>13,1-2-3-4-5,3|13|3>11>5>9>13|3|13|3>11>5>9>13,0,0,0,0,0,0,0,0,on,4,8/5,1.6,2/5,0.4,approaching,6,4/3,1.33333333333333,2/3,0.666666666666667,approaching,9,18/11,1.63636363636364,4/11,0.363636363636364,approaching,7,14/13,1.07692307692308,12/13,0.923076923076923,approaching,0,0,0,0,0,on,3,6/5,1.2,4/5,0.8,approaching,3,2/3,0.666666666666667,4/3,1.33333333333333,leaving,7,14/11,1.27272727272727,8/11,0.727272727272727,approaching,1,2/13,0.153846153846154,24/13,1.84615384615385,leaving
3311,6622,11,5,11>9>13>3>5,11,3,11>9>5>13>3,1-2-4-5-3,11|5|11>9>13>3>5|11|3|11>9>5>13>3,0,0,0,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,1,2/5,0.4,8/5,1.6,leaving,8,16/9,1.77777777777778,2/9,0.222222222222222,approaching,0,0,0,0,0,on,9,18/13,1.38461538461538,8/13,0.615384615384615,approaching,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,2,4/5,0.8,6/5,1.2,leaving,7,14/9,1.55555555555556,4/9,0.444444444444444,approaching,0,0,0,0,0,on,5,10/13,0.769230769230769,16/13,1.23076923076923,leaving
3313,6626,13,9,13>5>3>11>9,13,5,13>3>11>9>5,1-5-2-3-4,13|9|13>5>3>11>9|13|5|13>3>11>9>5,0,0,1,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,3,6/5,1.2,4/5,0.8,approaching,1,2/9,0.222222222222222,16/9,1.77777777777778,leaving,2,4/11,0.363636363636364,18/11,1.63636363636364,leaving,11,22/13,1.69230769230769,4/13,0.307692307692308,approaching,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,1,2/5,0.4,8/5,1.6,leaving,2,4/9,0.444444444444444,14/9,1.55555555555556,leaving,4,8/11,0.727272727272727,14/11,1.27272727272727,leaving,9,18/13,1.38461538461538,8/13,0.615384615384615,approaching
3315,6630,3+5+13,9,3+5+13>11>9,3+5+13,9,3+5+13>11>9,TIED,3+5+13|9|3+5+13>11>9|3+5+13|9|3+5+13>11>9,1,1,0,0,0,0,0,0,on,0,0,0,0,0,on,3,2/3,0.666666666666667,4/3,1.33333333333333,leaving,4,8/11,0.727272727272727,14/11,1.27272727272727,leaving,0,0,0,0,0,on,0,0,0,0,0,on,0,0,0,0,0,on,6,4/3,1.33333333333333,2/3,0.666666666666667,approaching,8,16/11,1.45454545454545,6/11,0.545454545454545,approaching,0,0,0,0,0,on
3317,6634,3,13,3>9>11>5>13,5,11,5>3>13>9>11,2-4-5-1-3,3|13|3>9>11>5>13|5|11|5>3>13>9>11,0,0,1,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,2,4/5,0.8,6/5,1.2,leaving,5,10/9,1.11111111111111,8/9,0.888888888888889,approaching,6,12/11,1.09090909090909,10/11,0.909090909090909,approaching,2,4/13,0.307692307692308,22/13,1.69230769230769,leaving,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,4,8/5,1.6,2/5,0.4,approaching,1,2/9,0.222222222222222,16/9,1.77777777777778,leaving,1,2/11,0.181818181818182,20/11,1.81818181818182,leaving,4,8/13,0.615384615384615,18/13,1.38461538461538,leaving
3319,6638,5,13,5>9>11>3>13,3,11,3>13>5>9>11,3-4-5-1-2,5|13|5>9>11>3>13|3|11|3>13>5>9>11,0,0,1,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,4,8/5,1.6,2/5,0.4,approaching,7,14/9,1.55555555555556,4/9,0.444444444444444,approaching,8,16/11,1.45454545454545,6/11,0.545454545454545,approaching,4,8/13,0.615384615384615,18/13,1.38461538461538,leaving,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,3,6/5,1.2,4/5,0.8,approaching,5,10/9,1.11111111111111,8/9,0.888888888888889,approaching,5,10/11,0.909090909090909,12/11,1.09090909090909,leaving,8,16/13,1.23076923076923,10/13,0.769230769230769,approaching
3321,6642,3+9,5,3+9>11>13>5,3+9,5,3+9>13>11>5,TIED,3+9|5|3+9>11>13>5|3+9|5|3+9>13>11>5,1,1,0,0,0,0,0,0,on,1,2/5,0.4,8/5,1.6,leaving,0,0,0,0,0,on,10,20/11,1.81818181818182,2/11,0.181818181818182,approaching,6,12/13,0.923076923076923,14/13,1.07692307692308,leaving,0,0,0,0,0,on,2,4/5,0.8,6/5,1.2,leaving,0,0,0,0,0,on,9,18/11,1.63636363636364,4/11,0.363636363636364,approaching,12,24/13,1.84615384615385,2/13,0.153846153846154,approaching
3323,6646,3,11,3>13>5>9>11,9,11,9>3>13>5>11,2-3-4-1-5,3|11|3>13>5>9>11|9|11|9>3>13>5>11,0,0,1,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,3,6/5,1.2,4/5,0.8,approaching,2,4/9,0.444444444444444,14/9,1.55555555555556,leaving,1,2/11,0.181818181818182,20/11,1.81818181818182,leaving,8,16/13,1.23076923076923,10/13,0.769230769230769,approaching,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,1,2/5,0.4,8/5,1.6,leaving,4,8/9,0.888888888888889,10/9,1.11111111111111,leaving,2,4/11,0.363636363636364,18/11,1.63636363636364,leaving,3,6/13,0.461538461538462,20/13,1.53846153846154,leaving
3325,6650,5,11,5>13>9>3>11,5,13,5>9>3>11>13,1-5-2-3-4,5|11|5>13>9>3>11|5|13|5>9>3>11>13,0,0,0,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,0,0,0,0,0,on,4,8/9,0.888888888888889,10/9,1.11111111111111,leaving,3,6/11,0.545454545454545,16/11,1.45454545454545,leaving,10,20/13,1.53846153846154,6/13,0.461538461538462,approaching,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,0,0,0,0,0,on,8,16/9,1.77777777777778,2/9,0.222222222222222,approaching,6,12/11,1.09090909090909,10/11,0.909090909090909,approaching,7,14/13,1.07692307692308,12/13,0.923076923076923,approaching
3327,6654,3,5,3>13>9>11>5,3,9,3>11>13>5>9,1-3-5-2-4,3|5|3>13>9>11>5|3|9|3>11>13>5>9,0,0,0,0,0,0,0,0,on,2,4/5,0.8,6/5,1.2,leaving,6,4/3,1.33333333333333,2/3,0.666666666666667,approaching,5,10/11,0.909090909090909,12/11,1.09090909090909,leaving,12,24/13,1.84615384615385,2/13,0.153846153846154,approaching,0,0,0,0,0,on,4,8/5,1.6,2/5,0.4,approaching,3,2/3,0.666666666666667,4/3,1.33333333333333,leaving,10,20/11,1.81818181818182,2/11,0.181818181818182,approaching,11,22/13,1.69230769230769,4/13,0.307692307692308,approaching
3329,6658,9,13,9>5>3>11>13,9,13,9>5>3>11>13,1-2-3-4-5,9|13|9>5>3>11>13|9|13|9>5>3>11>13,0,0,1,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,4,8/5,1.6,2/5,0.4,approaching,8,16/9,1.77777777777778,2/9,0.222222222222222,approaching,7,14/11,1.27272727272727,8/11,0.727272727272727,approaching,1,2/13,0.153846153846154,24/13,1.84615384615385,leaving,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,3,6/5,1.2,4/5,0.8,approaching,7,14/9,1.55555555555556,4/9,0.444444444444444,approaching,3,6/11,0.545454545454545,16/11,1.45454545454545,leaving,2,4/13,0.307692307692308,22/13,1.69230769230769,leaving
3331,6662,11,9,11>3>13>5>9,3,9,3>11>13>5>9,2-1-3-4-5,11|9|11>3>13>5>9|3|9|3>11>13>5>9,0,0,1,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,1,2/5,0.4,8/5,1.6,leaving,1,2/9,0.222222222222222,16/9,1.77777777777778,leaving,9,18/11,1.63636363636364,4/11,0.363636363636364,approaching,3,6/13,0.461538461538462,20/13,1.53846153846154,leaving,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,2,4/5,0.8,6/5,1.2,leaving,2,4/9,0.444444444444444,14/9,1.55555555555556,leaving,7,14/11,1.27272727272727,8/11,0.727272727272727,approaching,6,12/13,0.923076923076923,14/13,1.07692307692308,leaving
3333,6666,3+11,9,3+11>5>13>9,3+11,5,3+11>13>9>5,TIED,3+11|9|3+11>5>13>9|3+11|5|3+11>13>9>5,1,1,0,0,0,0,0,0,on,3,6/5,1.2,4/5,0.8,approaching,3,2/3,0.666666666666667,4/3,1.33333333333333,leaving,0,0,0,0,0,on,5,10/13,0.769230769230769,16/13,1.23076923076923,leaving,0,0,0,0,0,on,1,2/5,0.4,8/5,1.6,leaving,6,4/3,1.33333333333333,2/3,0.666666666666667,approaching,0,0,0,0,0,on,10,20/13,1.53846153846154,6/13,0.461538461538462,approaching
3335,6670,5,11,5>3>9>13>11,5,13,5>11>3>9>13,1-3-4-5-2,5|11|5>3>9>13>11|5|13|5>11>3>9>13,0,0,0,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,0,0,0,0,0,on,5,10/9,1.11111111111111,8/9,0.888888888888889,approaching,2,4/11,0.363636363636364,18/11,1.63636363636364,leaving,7,14/13,1.07692307692308,12/13,0.923076923076923,approaching,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,0,0,0,0,0,on,1,2/9,0.222222222222222,16/9,1.77777777777778,leaving,4,8/11,0.727272727272727,14/11,1.27272727272727,leaving,1,2/13,0.153846153846154,24/13,1.84615384615385,leaving
3337,6674,9,3,9>13>5>11>3,5,13,5>11>3>9>13,4-5-1-2-3,9|3|9>13>5>11>3|5|13|5>11>3>9>13,0,0,1,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,2,4/5,0.8,6/5,1.2,leaving,7,14/9,1.55555555555556,4/9,0.444444444444444,approaching,4,8/11,0.727272727272727,14/11,1.27272727272727,leaving,9,18/13,1.38461538461538,8/13,0.615384615384615,approaching,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,4,8/5,1.6,2/5,0.4,approaching,5,10/9,1.11111111111111,8/9,0.888888888888889,approaching,8,16/11,1.45454545454545,6/11,0.545454545454545,approaching,5,10/13,0.769230769230769,16/13,1.23076923076923,leaving
3339,6678,3+9,11,3+9>13>5>11,3+9,11,3+9>13>5>11,TIED,3+9|11|3+9>13>5>11|3+9|11|3+9>13>5>11,1,1,0,0,0,0,0,0,on,4,8/5,1.6,2/5,0.4,approaching,0,0,0,0,0,on,6,12/11,1.09090909090909,10/11,0.909090909090909,approaching,11,22/13,1.69230769230769,4/13,0.307692307692308,approaching,0,0,0,0,0,on,3,6/5,1.2,4/5,0.8,approaching,0,0,0,0,0,on,1,2/11,0.181818181818182,20/11,1.81818181818182,leaving,9,18/13,1.38461538461538,8/13,0.615384615384615,approaching
3341,6682,13,5,13>11>3>9>5,13,3,13>11>9>5>3,1-2-5-3-4,13|5|13>11>3>9>5|13|3|13>11>9>5>3,0,0,0,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,1,2/5,0.4,8/5,1.6,leaving,2,4/9,0.444444444444444,14/9,1.55555555555556,leaving,8,16/11,1.45454545454545,6/11,0.545454545454545,approaching,0,0,0,0,0,on,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,2,4/5,0.8,6/5,1.2,leaving,4,8/9,0.888888888888889,10/9,1.11111111111111,leaving,5,10/11,0.909090909090909,12/11,1.09090909090909,leaving,0,0,0,0,0,on
3343,6686,11,13,11>5>9>3>13,9,5,9>11>3>13>5,2-5-1-3-4,11|13|11>5>9>3>13|9|5|9>11>3>13>5,0,0,1,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,3,6/5,1.2,4/5,0.8,approaching,4,8/9,0.888888888888889,10/9,1.11111111111111,leaving,10,20/11,1.81818181818182,2/11,0.181818181818182,approaching,2,4/13,0.307692307692308,22/13,1.69230769230769,leaving,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,1,2/5,0.4,8/5,1.6,leaving,8,16/9,1.77777777777778,2/9,0.222222222222222,approaching,9,18/11,1.63636363636364,4/11,0.363636363636364,approaching,4,8/13,0.615384615384615,18/13,1.38461538461538,leaving
3345,6690,3+5,11,3+5>9>13>11,3+5,11,3+5>13>9>11,TIED,3+5|11|3+5>9>13>11|3+5|11|3+5>13>9>11,1,1,0,0,0,0,0,0,on,0,0,0,0,0,on,6,4/3,1.33333333333333,2/3,0.666666666666667,approaching,1,2/11,0.181818181818182,20/11,1.81818181818182,leaving,4,8/13,0.615384615384615,18/13,1.38461538461538,leaving,0,0,0,0,0,on,0,0,0,0,0,on,3,2/3,0.666666666666667,4/3,1.33333333333333,leaving,2,4/11,0.363636363636364,18/11,1.63636363636364,leaving,8,16/13,1.23076923076923,10/13,0.769230769230769,approaching
3347,6694,9,11,9>3>13>5>11,13,3,13>5>9>11>3,3-5-1-2-4,9|11|9>3>13>5>11|13|3|13>5>9>11>3,0,0,1,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,2,4/5,0.8,6/5,1.2,leaving,8,16/9,1.77777777777778,2/9,0.222222222222222,approaching,3,6/11,0.545454545454545,16/11,1.45454545454545,leaving,6,12/13,0.923076923076923,14/13,1.07692307692308,leaving,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,4,8/5,1.6,2/5,0.4,approaching,7,14/9,1.55555555555556,4/9,0.444444444444444,approaching,6,12/11,1.09090909090909,10/11,0.909090909090909,approaching,12,24/13,1.84615384615385,2/13,0.153846153846154,approaching
3349,6698,5,9,5>13>11>3>9,11,9,11>3>5>13>9,3-4-1-2-5,5|9|5>13>11>3>9|11|9|11>3>5>13>9,0,0,1,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,4,8/5,1.6,2/5,0.4,approaching,1,2/9,0.222222222222222,16/9,1.77777777777778,leaving,5,10/11,0.909090909090909,12/11,1.09090909090909,leaving,8,16/13,1.23076923076923,10/13,0.769230769230769,approaching,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,3,6/5,1.2,4/5,0.8,approaching,2,4/9,0.444444444444444,14/9,1.55555555555556,leaving,10,20/11,1.81818181818182,2/11,0.181818181818182,approaching,3,6/13,0.461538461538462,20/13,1.53846153846154,leaving
3351,6702,3,5,3>13>11>9>5,3,11,3>9>13>5>11,1-3-5-2-4,3|5|3>13>11>9>5|3|11|3>9>13>5>11,0,0,0,0,0,0,0,0,on,1,2/5,0.4,8/5,1.6,leaving,3,2/3,0.666666666666667,4/3,1.33333333333333,leaving,7,14/11,1.27272727272727,8/11,0.727272727272727,approaching,10,20/13,1.53846153846154,6/13,0.461538461538462,approaching,0,0,0,0,0,on,2,4/5,0.8,6/5,1.2,leaving,6,4/3,1.33333333333333,2/3,0.666666666666667,approaching,3,6/11,0.545454545454545,16/11,1.45454545454545,leaving,7,14/13,1.07692307692308,12/13,0.923076923076923,approaching
3353,6706,13,9,13>11>3>5>9,13,9,13>11>3>5>9,1-2-3-4-5,13|9|13>11>3>5>9|13|9|13>11>3>5>9,0,0,1,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,3,6/5,1.2,4/5,0.8,approaching,5,10/9,1.11111111111111,8/9,0.888888888888889,approaching,9,18/11,1.63636363636364,4/11,0.363636363636364,approaching,12,24/13,1.84615384615385,2/13,0.153846153846154,approaching,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,1,2/5,0.4,8/5,1.6,leaving,1,2/9,0.222222222222222,16/9,1.77777777777778,leaving,7,14/11,1.27272727272727,8/11,0.727272727272727,approaching,11,22/13,1.69230769230769,4/13,0.307692307692308,approaching
3355,6710,5+11,13,5+11>9>3>13,5+11,13,5+11>3>9>13,TIED,5+11|13|5+11>9>3>13|5+11|13|5+11>3>9>13,1,1,0,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,0,0,0,0,0,on,7,14/9,1.55555555555556,4/9,0.444444444444444,approaching,0,0,0,0,0,on,1,2/13,0.153846153846154,24/13,1.84615384615385,leaving,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,0,0,0,0,0,on,5,10/9,1.11111111111111,8/9,0.888888888888889,approaching,0,0,0,0,0,on,2,4/13,0.307692307692308,22/13,1.69230769230769,leaving
3357,6714,3+9,11,3+9>5>13>11,3+9,11,3+9>5>13>11,TIED,3+9|11|3+9>5>13>11|3+9|11|3+9>5>13>11,1,1,0,0,0,0,0,0,on,2,4/5,0.8,6/5,1.2,leaving,0,0,0,0,0,on,2,4/11,0.363636363636364,18/11,1.63636363636364,leaving,3,6/13,0.461538461538462,20/13,1.53846153846154,leaving,0,0,0,0,0,on,4,8/5,1.6,2/5,0.4,approaching,0,0,0,0,0,on,4,8/11,0.727272727272727,14/11,1.27272727272727,leaving,6,12/13,0.923076923076923,14/13,1.07692307692308,leaving
3359,6718,5,9,5>3>13>11>9,13,3,13>11>5>9>3,3-5-1-2-4,5|9|5>3>13>11>9|13|3|13>11>5>9>3,0,0,1,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,4,8/5,1.6,2/5,0.4,approaching,2,4/9,0.444444444444444,14/9,1.55555555555556,leaving,4,8/11,0.727272727272727,14/11,1.27272727272727,leaving,5,10/13,0.769230769230769,16/13,1.23076923076923,leaving,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,3,6/5,1.2,4/5,0.8,approaching,4,8/9,0.888888888888889,10/9,1.11111111111111,leaving,8,16/11,1.45454545454545,6/11,0.545454545454545,approaching,10,20/13,1.53846153846154,6/13,0.461538461538462,approaching
3361,6722,11,5,11>13>9>3>5,9,13,9>3>5>11>13,4-5-1-2-3,11|5|11>13>9>3>5|9|13|9>3>5>11>13,0,0,1,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,1,2/5,0.4,8/5,1.6,leaving,4,8/9,0.888888888888889,10/9,1.11111111111111,leaving,6,12/11,1.09090909090909,10/11,0.909090909090909,approaching,7,14/13,1.07692307692308,12/13,0.923076923076923,approaching,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,2,4/5,0.8,6/5,1.2,leaving,8,16/9,1.77777777777778,2/9,0.222222222222222,approaching,1,2/11,0.181818181818182,20/11,1.81818181818182,leaving,1,2/13,0.153846153846154,24/13,1.84615384615385,leaving
3363,6726,3,5,3>11>13>9>5,3,5,3>11>13>9>5,1-2-3-4-5,3|5|3>11>13>9>5|3|5|3>11>13>9>5,0,0,0,0,0,0,0,0,on,3,6/5,1.2,4/5,0.8,approaching,6,4/3,1.33333333333333,2/3,0.666666666666667,approaching,8,16/11,1.45454545454545,6/11,0.545454545454545,approaching,9,18/13,1.38461538461538,8/13,0.615384615384615,approaching,0,0,0,0,0,on,1,2/5,0.4,8/5,1.6,leaving,3,2/3,0.666666666666667,4/3,1.33333333333333,leaving,5,10/11,0.909090909090909,12/11,1.09090909090909,leaving,5,10/13,0.769230769230769,16/13,1.23076923076923,leaving
3365,6730,5,3,5>11>9>13>3,5,3,5>11>9>13>3,1-2-3-4-5,5|3|5>11>9>13>3|5|3|5>11>9>13>3,0,0,0,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,0,0,0,0,0,on,8,16/9,1.77777777777778,2/9,0.222222222222222,approaching,10,20/11,1.81818181818182,2/11,0.181818181818182,approaching,11,22/13,1.69230769230769,4/13,0.307692307692308,approaching,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,0,0,0,0,0,on,7,14/9,1.55555555555556,4/9,0.444444444444444,approaching,9,18/11,1.63636363636364,4/11,0.363636363636364,approaching,9,18/13,1.38461538461538,8/13,0.615384615384615,approaching
3367,6734,13,11,13>5>3>9>11,13,11,13>5>3>9>11,1-2-3-4-5,13|11|13>5>3>9>11|13|11|13>5>3>9>11,0,0,0,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,2,4/5,0.8,6/5,1.2,leaving,1,2/9,0.222222222222222,16/9,1.77777777777778,leaving,1,2/11,0.181818181818182,20/11,1.81818181818182,leaving,0,0,0,0,0,on,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,4,8/5,1.6,2/5,0.4,approaching,2,4/9,0.444444444444444,14/9,1.55555555555556,leaving,2,4/11,0.363636363636364,18/11,1.63636363636364,leaving,0,0,0,0,0,on
3369,6738,3,13,3>5>9>11>13,3,13,3>9>5>11>13,1-3-2-4-5,3|13|3>5>9>11>13|3|13|3>9>5>11>13,0,0,0,0,0,0,0,0,on,4,8/5,1.6,2/5,0.4,approaching,3,2/3,0.666666666666667,4/3,1.33333333333333,leaving,3,6/11,0.545454545454545,16/11,1.45454545454545,leaving,2,4/13,0.307692307692308,22/13,1.69230769230769,leaving,0,0,0,0,0,on,3,6/5,1.2,4/5,0.8,approaching,6,4/3,1.33333333333333,2/3,0.666666666666667,approaching,6,12/11,1.09090909090909,10/11,0.909090909090909,approaching,4,8/13,0.615384615384615,18/13,1.38461538461538,leaving
3371,6742,3,5,3>9>11>13>5,11,9,11>13>5>3>9,4-5-1-2-3,3|5|3>9>11>13>5|11|9|11>13>5>3>9,0,0,1,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,1,2/5,0.4,8/5,1.6,leaving,5,10/9,1.11111111111111,8/9,0.888888888888889,approaching,5,10/11,0.909090909090909,12/11,1.09090909090909,leaving,4,8/13,0.615384615384615,18/13,1.38461538461538,leaving,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,2,4/5,0.8,6/5,1.2,leaving,1,2/9,0.222222222222222,16/9,1.77777777777778,leaving,10,20/11,1.81818181818182,2/11,0.181818181818182,approaching,8,16/13,1.23076923076923,10/13,0.769230769230769,approaching
3373,6746,9,3,9>11>5>13>3,13,5,13>3>9>11>5,3-4-5-1-2,9|3|9>11>5>13>3|13|5|13>3>9>11>5,0,0,1,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,3,6/5,1.2,4/5,0.8,approaching,7,14/9,1.55555555555556,4/9,0.444444444444444,approaching,7,14/11,1.27272727272727,8/11,0.727272727272727,approaching,6,12/13,0.923076923076923,14/13,1.07692307692308,leaving,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,1,2/5,0.4,8/5,1.6,leaving,5,10/9,1.11111111111111,8/9,0.888888888888889,approaching,3,6/11,0.545454545454545,16/11,1.45454545454545,leaving,12,24/13,1.84615384615385,2/13,0.153846153846154,approaching
3375,6750,3+5+9,13,3+5+9>11>13,3+5+9,13,3+5+9>11>13,TIED,3+5+9|13|3+5+9>11>13|3+5+9|13|3+5+9>11>13,1,1,0,0,0,0,0,0,on,0,0,0,0,0,on,0,0,0,0,0,on,9,18/11,1.63636363636364,4/11,0.363636363636364,approaching,8,16/13,1.23076923076923,10/13,0.769230769230769,approaching,0,0,0,0,0,on,0,0,0,0,0,on,0,0,0,0,0,on,7,14/11,1.27272727272727,8/11,0.727272727272727,approaching,3,6/13,0.461538461538462,20/13,1.53846153846154,leaving
3377,6754,11,9,11>13>3>5>9,11,3,11>5>13>9>3,1-3-5-2-4,11|9|11>13>3>5>9|11|3|11>5>13>9>3,0,0,0,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,2,4/5,0.8,6/5,1.2,leaving,2,4/9,0.444444444444444,14/9,1.55555555555556,leaving,0,0,0,0,0,on,10,20/13,1.53846153846154,6/13,0.461538461538462,approaching,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,4,8/5,1.6,2/5,0.4,approaching,4,8/9,0.888888888888889,10/9,1.11111111111111,leaving,0,0,0,0,0,on,7,14/13,1.07692307692308,12/13,0.923076923076923,approaching
3379,6758,13,11,13>5>9>3>11,9,11,9>13>3>5>11,2-4-1-3-5,13|11|13>5>9>3>11|9|11|9>13>3>5>11,0,0,1,1,2/3,0.666666666666667,4/3,1.33333333333333,leaving,4,8/5,1.6,2/5,0.4,approaching,4,8/9,0.888888888888889,10/9,1.11111111111111,leaving,2,4/11,0.363636363636364,18/11,1.63636363636364,leaving,12,24/13,1.84615384615385,2/13,0.153846153846154,approaching,2,4/3,1.33333333333333,2/3,0.666666666666667,approaching,3,6/5,1.2,4/5,0.8,approaching,8,16/9,1.77777777777778,2/9,0.222222222222222,approaching,4,8/11,0.727272727272727,14/11,1.27272727272727,leaving,11,22/13,1.69230769230769,4/13,0.307692307692308,approaching
3381,6762,3,13,3>9>11>5>13,3,13,3>11>5>9>13,1-4-2-3-5,3|13|3>9>11>5>13|3|13|3>11>5>9>13,0,0,0,0,0,0,0,0,on,1,2/5,0.4,8/5,1.6,leaving,6,4/3,1.33333333333333,2/3,0.666666666666667,approaching,4,8/11,0.727272727272727,14/11,1.27272727272727,leaving,1,2/13,0.153846153846154,24/13,1.84615384615385,leaving,0,0,0,0,0,on,2,4/5,0.8,6/5,1.2,leaving,3,2/3,0.666666666666667,4/3,1.33333333333333,leaving,8,16/11,1.45454545454545,6/11,0.545454545454545,approaching,2,4/13,0.307692307692308,22/13,1.69230769230769,leaving
